id|device_id|created_at|published_at_utc|float_value|int_value|str_value|event_name
16335|250019001247343339383037|2022-12-15 03:37:44.759619+00|2022-12-15 03:37:44.738+00|85.169236|||tempA4
16336|250019001247343339383037|2022-12-15 03:37:44.761759+00|2022-12-15 03:37:44.738+00||4||wifi
16337|e00fce685f262f4ea1486367|2022-12-15 03:40:09.45301+00|2022-12-15 03:40:09.428+00|68|||temp
16338|250019001247343339383037|2022-12-15 03:42:44.61501+00|2022-12-15 03:42:44.595+00|85.169236|||tempA0
16339|250019001247343339383037|2022-12-15 03:42:44.718155+00|2022-12-15 03:42:44.698+00|85.459333|||tempA4
16340|250019001247343339383037|2022-12-15 03:42:44.720768+00|2022-12-15 03:42:44.699+00||4||wifi
16341|e00fce685f262f4ea1486367|2022-12-15 03:45:09.485453+00|2022-12-15 03:45:09.462+00|68|||temp
16342|250019001247343339383037|2022-12-15 03:47:44.634038+00|2022-12-15 03:47:44.614+00|84.443956|||tempA0
16343|250019001247343339383037|2022-12-15 03:47:44.790394+00|2022-12-15 03:47:44.77+00|85.169236|||tempA4
16344|250019001247343339383037|2022-12-15 03:47:44.792948+00|2022-12-15 03:47:44.771+00||4||wifi
16345|e00fce685f262f4ea1486367|2022-12-15 03:50:09.636814+00|2022-12-15 03:50:09.604+00|68|||temp
16346|250019001247343339383037|2022-12-15 03:52:44.554666+00|2022-12-15 03:52:44.533+00|84.58901|||tempA0
16347|250019001247343339383037|2022-12-15 03:52:44.757778+00|2022-12-15 03:52:44.738+00|85.024182|||tempA4
16348|250019001247343339383037|2022-12-15 03:52:44.761596+00|2022-12-15 03:52:44.738+00||4||wifi
16349|e00fce685f262f4ea1486367|2022-12-15 03:55:09.643433+00|2022-12-15 03:55:09.521+00|66.199997|||temp
16350|250019001247343339383037|2022-12-15 03:57:44.597706+00|2022-12-15 03:57:44.575+00|83.86373|||tempA0
16351|250019001247343339383037|2022-12-15 03:57:44.831877+00|2022-12-15 03:57:44.812+00|84.443956|||tempA4
16352|250019001247343339383037|2022-12-15 03:57:44.835488+00|2022-12-15 03:57:44.812+00||4||wifi
16353|e00fce685f262f4ea1486367|2022-12-15 04:00:09.579438+00|2022-12-15 04:00:09.559+00|66.199997|||temp
16354|250019001247343339383037|2022-12-15 04:02:44.660515+00|2022-12-15 04:02:44.641+00|84.443956|||tempA0
16355|250019001247343339383037|2022-12-15 04:02:44.776335+00|2022-12-15 04:02:44.758+00|85.169236|||tempA4
16356|250019001247343339383037|2022-12-15 04:02:44.780019+00|2022-12-15 04:02:44.758+00||4||wifi
16357|e00fce685f262f4ea1486367|2022-12-15 04:05:09.612653+00|2022-12-15 04:05:09.587+00|68|||temp
16358|250019001247343339383037|2022-12-15 04:07:44.553777+00|2022-12-15 04:07:44.53+00|85.024182|||tempA0
16359|250019001247343339383037|2022-12-15 04:07:44.757431+00|2022-12-15 04:07:44.736+00||4||wifi
16360|250019001247343339383037|2022-12-15 04:07:44.75868+00|2022-12-15 04:07:44.736+00|84.879118|||tempA4
16361|e00fce685f262f4ea1486367|2022-12-15 04:10:09.708453+00|2022-12-15 04:10:09.667+00|68|||temp
16362|250019001247343339383037|2022-12-15 04:12:44.571859+00|2022-12-15 04:12:44.527+00|83.718687|||tempA0
16363|250019001247343339383037|2022-12-15 04:12:44.842854+00|2022-12-15 04:12:44.822+00|84.153848|||tempA4
16364|250019001247343339383037|2022-12-15 04:12:44.862171+00|2022-12-15 04:12:44.822+00||4||wifi
16365|e00fce685f262f4ea1486367|2022-12-15 04:15:09.771397+00|2022-12-15 04:15:09.729+00|66.199997|||temp
16366|250019001247343339383037|2022-12-15 04:17:44.559141+00|2022-12-15 04:17:44.536+00|84.008784|||tempA0
16367|250019001247343339383037|2022-12-15 04:17:44.751132+00|2022-12-15 04:17:44.729+00|84.58901|||tempA4
16368|250019001247343339383037|2022-12-15 04:17:44.753268+00|2022-12-15 04:17:44.729+00||4||wifi
16369|e00fce685f262f4ea1486367|2022-12-15 04:20:09.710657+00|2022-12-15 04:20:09.684+00|66.199997|||temp
16370|250019001247343339383037|2022-12-15 04:22:44.601365+00|2022-12-15 04:22:44.57+00|84.58901|||tempA0
16371|250019001247343339383037|2022-12-15 04:22:44.75041+00|2022-12-15 04:22:44.728+00|85.314279|||tempA4
16372|250019001247343339383037|2022-12-15 04:22:44.753613+00|2022-12-15 04:22:44.729+00||4||wifi
16373|e00fce685f262f4ea1486367|2022-12-15 04:25:09.753103+00|2022-12-15 04:25:09.727+00|66.199997|||temp
16374|250019001247343339383037|2022-12-15 04:27:44.546394+00|2022-12-15 04:27:44.523+00|83.718687|||tempA0
16375|250019001247343339383037|2022-12-15 04:27:44.703646+00|2022-12-15 04:27:44.671+00|85.024182|||tempA4
16376|250019001247343339383037|2022-12-15 04:27:44.704488+00|2022-12-15 04:27:44.671+00||4||wifi
